emp_no,salary
10095,63668
10095,63668
10122,42284
10291,57430
10291,57430
10410,46546
10476,58221
10476,58221
10480,55669
10663,47521
10663,47521
10762,52172
10762,52172
10933,40000
11015,57076
11126,40000
11126,40000
11157,50629
11432,40208
11432,40208
12155,55355
12155,55355
12408,40000
12643,114784
13499,40000
13957,62604
14075,40000
14075,40000
14104,40327
14104,40327
14127,50454
14127,50454
14158,67559
14158,67559
14476,72512
14551,83296
14907,69351
14907,69351
15050,46188
15050,46188
15058,62294
15058,62294
15376,40000
15376,40000
15413,40000
15413,40000
16461,83638
16461,83638
16528,49557
16528,49557
17013,55776
17013,55776
17206,40000
17206,40000
17369,40000
17369,40000
17369,40000
17369,40000
17447,65188
17618,40000
17731,68972
17731,68972
17799,72593
17970,40000
17988,52284
17988,52284
18021,40000
18021,40000
18187,63588
18424,40000
18424,40000
18583,40000
18617,40000
18617,40000
18810,40000
18810,40000
19236,67760
19236,67760
19350,41182
19350,41182
19803,71465
19803,71465
20100,64100
20100,64100
20128,40000
20129,53292
20129,53292
20248,40000
20313,40000
20500,40000
20500,40000
20712,71743
20720,40000
20885,59704
20885,59704
21181,60114
21181,60114
21188,40000
21534,40000
21546,75391
21546,75391
21843,52216
21909,60302
21909,60302
22027,68981
22185,40000
22185,40000
22185,40000
22185,40000
22415,69277
22451,40000
22451,40000
22451,40000
22451,40000
22455,69644
22455,69644
22502,57324
22926,56184
22926,56184
23396,55806
24080,47203
24189,40000
24205,49424
24377,42900
24377,42900
24394,55035
24421,48385
24553,58459
24553,58459
24571,40000
24571,40000
25488,40851
25488,40851
26476,69850
26503,82404
26617,46589
26629,50836
26671,68039
26671,68039
26788,40000
26788,40000
27150,77037
27331,40000
27331,40000
27378,48227
27620,40000
27620,40000
27686,62592
27699,67505
27767,40000
27767,40000
27970,40000
28193,40490
28193,40490
28222,40000
28974,40000
28988,47185
29130,67033
29265,40000
29265,40000
29380,48212
29418,57496
29679,44381
29782,45222
29782,45222
29954,40000
30007,56378
30007,56378
30035,45843
30154,40000
30182,61572
30182,61572
30465,41895
30465,41895
30484,62692
30552,40000
30552,40000
30695,42052
30938,43593
30938,43593
30938,43593
30938,43593
31147,54305
31170,54779
31188,40000
31207,40000
31341,53219
31341,53219
31514,62415
31514,62415
31568,67061
31599,40000
31629,73023
31629,73023
31909,46224
31909,46224
32347,66965
32347,66965
32552,50710
32552,50710
32622,40000
32622,40000
32649,51124
32714,82622
32714,82622
32844,48091
33025,40000
33215,48797
33293,40000
33293,40000
33606,61733
33722,40000
33722,40000
34077,50005
34077,50005
34261,40000
34261,40000
34446,40000
34452,50679
34452,50679
34505,87384
34505,87384
34533,40829
34533,40829
34780,64125
34780,64125
34788,58068
34936,65899
35044,52310
35044,52310
35087,40000
35087,40000
35441,48152
35441,48152
35441,48152
35441,48152
35642,40000
35642,40000
35642,40000
35642,40000
35793,56473
35793,56473
35798,41160
36521,57111
36521,57111
36626,48437
36733,40000
36844,57007
36982,40000
36982,40000
37070,43215
37070,43215
37592,69900
37719,51093
37719,51093
37945,40000
38017,40977
38017,40977
38043,49927
38043,49927
38103,48383
38103,48383
38168,40000
38168,40000
38550,40000
38593,60124
38593,60124
38947,40000
38947,40000
38947,40000
38947,40000
39000,48649
39000,48649
39036,40000
39268,52535
39301,40000
39301,40000
39341,50645
39341,50645
39952,80468
40269,70370
40269,70370
40283,40000
40283,40000
40301,40000
40301,40000
40536,49948
40536,49948
40648,91874
40765,51758
40765,51758
40773,40000
40773,40000
40785,49404
40983,40000
41114,60729
41137,71921
41137,71921
41137,71921
41137,71921
41357,59086
41518,47399
41518,47399
41520,44818
41552,46811
41552,46811
41609,60396
42778,40000
42778,40000
42911,40181
42911,40181
42950,40000
42955,40000
43154,69813
43154,69813
43358,63651
43733,40000
43733,40000
43848,40000
44054,40000
44265,52444
44540,40000
44900,47805
44900,47805
44959,60432
44959,60432
44962,40000
45162,58610
45162,58610
45590,42484
46000,40000
46000,40000
46015,66067
46222,64880
46328,76950
46531,59370
46811,52228
46834,82569
46943,46091
46943,46091
47016,58961
47016,58961
47139,67283
47262,40000
47262,40000
47515,50098
47702,84625
47702,84625
47708,76137
48275,67799
48275,67799
48690,47581
48882,40000
48882,40000
48904,58807
48904,58807
48947,57836
49010,63422
49010,63422
49010,63422
49010,63422
49017,46622
49017,46622
49119,55051
49119,55051
49177,44995
49464,73678
49477,40000
50293,40000
50311,40000
50360,41121
50453,79402
50587,70767
50670,64895
50670,64895
50831,52845
50831,52845
51036,55121
51057,58337
51057,58337
51060,42308
51060,42308
51118,56519
51142,46516
51142,46516
51502,72237
51868,55988
52038,52102
52040,40000
52040,40000
52040,40000
52040,40000
52283,44232
52283,44232
52386,65342
52386,65342
52590,45171
52590,45171
52590,45171
52590,45171
52599,48897
52599,48897
52599,48897
52599,48897
52639,69976
52770,65588
52770,65588
52778,46041
52956,40000
52956,40000
52956,40000
52956,40000
52970,47552
52970,47552
53088,40000
53088,40000
53278,67503
53278,67503
53314,40000
53431,60379
53431,60379
53499,40000
53499,40000
53597,41626
53597,41626
53746,63132
53874,51955
53874,51955
53891,50046
53924,40000
53924,40000
54198,40000
54198,40000
54632,43788
54632,43788
54795,40000
54795,40000
54795,40000
54795,40000
54800,74827
55121,55774
55640,40000
55640,40000
55670,63760
55670,63760
55687,40000
55799,61980
55799,61980
55857,70416
55857,70416
56105,40000
56105,40000
56209,54373
56209,54373
56415,51148
56415,51148
56428,43255
56428,43255
56682,40000
56829,40000
56829,40000
56847,44031
56847,44031
57934,82396
57934,82396
57982,55662
58141,46317
58147,55703
58217,43222
58384,40000
