emp_no,salary
10001,60117
10004,40054
10004,40054
10005,78228
10005,78228
10006,40000
10009,60929
10009,60929
10009,60929
10011,42365
10018,55881
10018,55881
10019,44276
10020,40000
10022,40000
10023,47883
10026,47585
10026,47585
10035,41538
10035,41538
10047,54982
10047,54982
10051,48817
10051,48817
10053,67854
10057,49616
10057,49616
10058,52787
10059,71218
10063,40000
10066,69736
10066,69736
10066,69736
10067,44642
10067,44642
10070,55999
10072,40000
10072,40000
10073,56473
10074,61714
10076,47319
10088,65957
10088,65957
10091,40000
10091,40000
10096,61395
10097,44886
10097,44886
10100,54398
10100,54398
10101,66591
10103,68158
10106,62928
10106,62928
10108,40000
10116,44034
10126,40000
10126,40000
10127,40000
10129,40000
10130,40000
10131,48475
10134,40000
10134,40000
10138,53574
10138,53574
10149,88740
10150,70122
10150,70122
10152,40000
10153,54246
10157,48770
10159,52881
10160,91622
10160,91622
10161,43149
10163,41603
10166,51586
10177,48041
10183,40000
10186,40000
10189,41222
10194,64941
10194,64941
10196,86671
10198,44076
10198,44076
10203,40000
10203,40000
10205,40000
10207,52783
10207,52783
10215,43944
10217,40000
10219,40000
10224,40000
10224,40000
10228,79474
10228,79474
10229,58321
10230,47531
10230,47531
10233,40000
10233,40000
10237,100715
10237,100715
10239,65146
10240,73874
10248,58918
10248,58918
10249,72192
10249,72192
10258,66280
10258,66280
10258,66280
10262,63005
10272,58070
10278,51703
10281,46123
10281,46123
10282,40000
10282,40000
10283,40000
10283,40000
10284,40000
10286,40000
10294,66448
10295,46398
10295,46398
10298,40000
10302,58239
10302,58239
10305,52550
10306,44229
10307,40000
10321,86819
10322,41968
10322,41968
10325,44325
10326,40000
10327,54734
10328,46286
10333,45141
10333,45141
10340,68132
10340,68132
10343,40000
10347,42199
10349,47518
10349,47518
10350,41213
10350,41213
10353,62656
10355,70434
10356,45376
10358,63243
10363,40401
10364,51401
10367,63565
10367,63565
10372,54505
10374,69568
10377,40000
10382,45785
10387,61374
10387,61374
10388,62545
10389,55548
10395,42774
10396,40393
10397,40529
10402,40000
10404,51647
10404,51647
10407,62565
10413,45416
10413,45416
10414,43255
10418,52224
10422,45725
10426,65757
10429,40000
10432,40000
10432,40000
10433,40000
10433,40000
10442,46005
10442,46005
10443,55299
10451,46275
10451,46275
10451,46275
10453,40000
10453,40000
10463,66480
10466,55318
10477,55138
10477,55138
10486,71692
10486,71692
10494,50094
10494,50094
10497,63707
10497,63707
10499,40000
10499,40000
10503,40000
10504,43931
10509,49292
10509,49292
10512,40000
10512,40000
10517,65330
10519,40000
10519,40000
10522,40000
10522,40000
10529,47840
10531,49168
10538,72002
10541,50741
10542,40000
10548,90631
10548,90631
10552,80483
10564,46660
10564,46660
10568,64356
10575,40523
10586,47541
10586,47541
10591,55131
10593,71435
10593,71435
10596,58689
10596,58689
10603,101271
10608,40000
10610,49812
10614,40000
10614,40000
10615,43533
10615,43533
10617,40000
10623,60268
10623,60268
10624,40000
10628,41650
10628,41650
10628,41650
10629,87045
10630,40000
10631,40000
10634,45179
10634,45179
10634,45179
10636,40904
10637,103579
10637,103579
10639,46291
10639,46291
10641,41785
10641,41785
10642,40000
10653,40000
10667,40000
10671,74037
10671,74037
10672,64663
10676,58226
10683,40000
10693,40000
10693,40000
10694,53020
10694,53020
10696,68913
10702,46581
10712,40000
10712,40000
10718,75473
10718,75473
10726,46315
10726,46315
10731,77892
10731,77892
10734,47377
10741,50265
10741,50265
10742,67405
10745,40000
10745,40000
10747,51538
10749,60829
10749,60829
10750,40000
10751,50052
10764,70720
10764,70720
10767,40651
10768,65717
10768,65717
10777,40000
10777,40000
10778,64996
10780,43654
10782,40000
10791,40000
10791,40000
10795,84206
10795,84206
10801,67302
10803,54260
10803,54260
10808,40000
10811,40000
10813,53246
10814,59378
10814,59378
10826,59506
10827,58322
10829,40000
10830,47420
10830,47420
10831,82330
10833,40000
10834,53869
10834,53869
10835,40000
10836,65502
10844,40000
10846,40000
10847,40000
10847,40000
10848,50475
10848,50475
10849,66065
10849,66065
10854,40000
10858,47847
10858,47847
10867,40000
10871,40000
10872,40000
10872,40000
10873,65835
10876,61389
10878,72102
10879,65651
10882,40000
10883,40000
10885,78613
10887,69570
10895,67103
10900,50054
10906,66204
10909,80935
10909,80935
10912,45665
10912,45665
10913,62428
10918,59521
10920,40000
10920,40000
10921,72601
10921,72601
10922,51997
10924,84783
10924,84783
10926,43219
10926,43219
10927,51819
10927,51819
10930,53785
10930,53785
10932,40000
10932,40000
10936,40000
10936,40000
10940,74987
10942,40000
10943,45890
10943,45890
10944,42872
10947,43068
10947,43068
10948,47252
10949,58253
10949,58253
10956,40000
10965,61654
10969,40000
10971,52453
10974,56005
10985,40000
10986,43900
10987,46108
10988,54174
10989,46406
10989,46406
10990,40000
10996,43564
10996,43564
11002,49909
11004,40226
11004,40226
11009,75111
11009,75111
11012,72092
11019,69387
11019,69387
11021,62670
11024,85419
11027,40000
11027,40000
11027,40000
11028,41111
11028,41111
11031,71654
11031,71654
11032,40000
11037,40000
11037,40000
11038,44993
11038,44993
11042,40000
11042,40000
